,name,title,website,does_research,mentions_diff_eq
64,Mohamed Ali Belabbas,Associate Professor,https://math.illinois.edu/directory/profile/belabbas,True,False
65,Wendy K Tam Cho,Professor,https://math.illinois.edu/directory/profile/wendycho,True,False
66,Sheldon  Jacobson,Professor,https://math.illinois.edu/directory/profile/shj,True,False
67,Kohei Kishida,Assistant Professor (Philosophy),https://math.illinois.edu/directory/profile/kkishida,True,False
68,Daniel M. Liberzon,"Richard T. Cheng Professor, Electrical and Computer Engineering",https://math.illinois.edu/directory/profile/liberzon,True,False
69,Jun Song,Professor,https://math.illinois.edu/directory/profile/songj,True,False
70,Tandy Warnow,Professor ,https://math.illinois.edu/directory/profile/warnow,True,False
71,Zhizhen Zhao,Assistant Professor,https://math.illinois.edu/directory/profile/zhizhenz,True,False
72,Patrick  Allen,Assistant Professor,https://math.illinois.edu/directory/profile/pballen,True,False
73,Thomas E Anderson,"Instructor, NetMath",https://math.illinois.edu/directory/profile/teanders,True,False
74,Jayadev Athreya,Associate Professor,https://math.illinois.edu/directory/profile/jathreya,True,False
75,Nigel Boston,Adjunct Faculty,https://math.illinois.edu/directory/profile/n-boston,True,False
76,Sunil Kumar  Chebolu,Professor,https://math.illinois.edu/directory/profile/chebolu,True,False
77,James Glazebrook,Associate Professor,https://math.illinois.edu/directory/profile/glazebro,True,False
78,Yevgeniy I. Gordon,Professor,https://math.illinois.edu/directory/profile/gordon3,True,False
79,Dirk Hundertmark,Associate Professor,https://math.illinois.edu/directory/profile/dhundert,True,False
80,Ilya Kapovich,Adjunct Professor,https://math.illinois.edu/directory/profile/kapovich,True,False
81,Grant Lakeland,Assistant Professor,https://math.illinois.edu/directory/profile/lakeland,True,False
82,Chris  Leininger,Adjunct Professor,https://math.illinois.edu/directory/profile/clein,True,False
83,Ioan-Tiberiu Marcut,Assistant Professor,https://math.illinois.edu/directory/profile/marcut,True,False
84,Yevgenya Movshovich,Professor,https://math.illinois.edu/directory/profile/yevgenya,True,False
85,Hal Schenck,Professor,https://math.illinois.edu/directory/profile/schenck,True,False
86,Jozef Skokan,Professor,https://math.illinois.edu/directory/profile/skokan,True,False
87,Slawomir Solecki,Professor,https://math.illinois.edu/directory/profile/ssolecki,True,False
88,John M.  Sullivan,Professor,https://math.illinois.edu/directory/profile/jms,True,False
89,Anush Tserunyan,Assistant Professor,https://math.illinois.edu/directory/profile/anush,True,False
90,Chelsea Walton,Adjunct Associate Professor,https://math.illinois.edu/directory/profile/notlaw,True,False
91,Stephen Wolfram,Professor,https://math.illinois.edu/directory/profile/wolfram,True,False
92,Wen-Bin Zhang,Adjunct Assistant Professor,https://math.illinois.edu/directory/profile/w-zhang1,True,False
93,Alexander Barron,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/aabarron,True,False
94,Olivia Dorothea  Beckwith,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/obeck,True,False
95,Ruiyuan Chen,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/ruiyuan,True,False
96,Adam Dor On,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/adoron,True,False
97,Sean English,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/senglish,True,False
98,Aron Heleodoro,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/aronah,True,False
99,Reuven M  Hodges,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/rhodges,True,False
100,Daesung Kim,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/daesungk,True,False
101,Mao Li,J.L Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/maoli,True,False
102,Joey Palmer,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/jpalmer5,True,False
103,Chandrika Sadanand,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/sadanand,True,False
104,Eric Griffin  Samperton,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/smprtn,True,False
105,Avery St Dizier,NSF Postdoc,https://math.illinois.edu/directory/profile/stdizie2,True,False
106,Shiang Tang,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/shiang,True,False
107,Zhao Yang,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/zhaouiuc,True,True
108,Iftikhar Ahmed,Instructor,https://math.illinois.edu/directory/profile/iahmed8,True,False
109,Matthew Strom Borman,Lecturer,https://math.illinois.edu/directory/profile/msborman,True,False
110,Jer-Chin Chuang,Instructor,https://math.illinois.edu/directory/profile/jchuang,True,False
111,Paa Kow Cole,Instructor,https://math.illinois.edu/directory/profile/pkcole,True,False
112,Jason Walter Elliot,"Lecturer, NetMath",https://math.illinois.edu/directory/profile/jelliot2,True,False
113,Lena Folwaczny,Instructor,https://math.illinois.edu/directory/profile/lfolwa2,True,False
114,Claudia Freiji,InstructorCoordinator of the Illinois Risk Lab,https://math.illinois.edu/directory/profile/cnassif,True,False
115,April Hoffmeister,Senior Lecturer,https://math.illinois.edu/directory/profile/amhoff,True,False
116,Aldo Manfroi,Senior Lecturer,https://math.illinois.edu/directory/profile/amanfroi,True,False
117,Jennifer McNeilly,"Director, Math Merit Workshop, Instructor",https://math.illinois.edu/directory/profile/jrmcneil,True,False
118,Richard Monke,Adjunct Instructor,https://math.illinois.edu/directory/profile/rmonke,True,False
119,Karen Mortensen,"Associate Director of Graduate Studies, Lecturer",https://math.illinois.edu/directory/profile/kmortens,True,False
120,Tayyab Nawaz,"Lecturer, NetMath",https://math.illinois.edu/directory/profile/tnawaz2,True,False
121,Sarka Petrickova,Lecturer,https://math.illinois.edu/directory/profile/petrckv2,True,False
122,Laura Elizabeth Placzek,Instructor,https://math.illinois.edu/directory/profile/lplaczek,True,False
123,Alison Reddy,"Director, Math Placement Program, Instructor",https://math.illinois.edu/directory/profile/ared,True,False
124,Jenny Srikant,Instructor,https://math.illinois.edu/directory/profile/jsrikan2,True,False
125,Jin Hyung To,"Lecturer, NetMath",https://math.illinois.edu/directory/profile/jinto,True,False
126,Kim Whittlesey,Lecturer,https://math.illinois.edu/directory/profile/kwhittle,True,False
127,Stephanie Alexander,Professor Emeritus,https://math.illinois.edu/directory/profile/sba,True,False
128,Ararat Babakhanian,Professor Emeritus,https://math.illinois.edu/directory/profile/ababakha,True,True
129,I. David Berg,Professor Emeritus,https://math.illinois.edu/directory/profile/idberg,True,False
130,Maarten J. Bergvelt,Professor Emeritus,https://math.illinois.edu/directory/profile/bergv,True,False
131,Earl R. Berkson,Professor Emeritus,https://math.illinois.edu/directory/profile/berkson,True,False
132,Bruce C. Berndt,Professor Emeritus,https://math.illinois.edu/directory/profile/berndt,True,False
133,Peter G.  Braunfeld,Professor Emeritus,https://math.illinois.edu/directory/profile/pbraunfe,True,False
134,John Brown,jocar89@comcast.net,https://math.illinois.edu/directory/profile/jocar89,True,False
135,Robert F. Craggs,Professor Emeritus,https://math.illinois.edu/directory/profile/craggs,True,False
136,John P. D'Angelo,Professor Emeritus,https://math.illinois.edu/directory/profile/jpda,True,False
137,Everett C. Dade,Professor Emeritus,https://math.illinois.edu/directory/profile/ecdade,True,False
138,Harold Diamond,Professor Emeritus,https://math.illinois.edu/directory/profile/hdiamond,True,False
139,Robert M.  Fossum,Professor Emeritus,https://math.illinois.edu/directory/profile/rmfossum,True,False
140,George Francis,Professor Emeritus,https://math.illinois.edu/directory/profile/gfrancis,True,False
141,Zoltan Furedi,Professor Emeritus,https://math.illinois.edu/directory/profile/z-furedi,True,False
142,Daniel R. Grayson,Professor Emeritus,https://math.illinois.edu/directory/profile/drg,True,False
143,Phillip Griffith,Professor Emeritus,https://math.illinois.edu/directory/profile/pgriffit,True,False
144,Wolfgang Haken,Professor Emeritus,https://math.illinois.edu/directory/profile/w-haken,True,False
145,C. Ward  Henson,Professor Emeritus,https://math.illinois.edu/directory/profile/w-henson,True,False
146,Richard Herman,Professor Emeritus,https://math.illinois.edu/directory/profile/rhh,True,False
147,A J  Hildebrand,Professor Emeritus,https://math.illinois.edu/directory/profile/ajh,True,False
148,Gerald J. Janusz,Professor Emeritus,https://math.illinois.edu/directory/profile/gjanusz,True,False
149,Carl G  Jockusch Jr,Professor Emeritus,https://math.illinois.edu/directory/profile/cjockusc,True,False
150,Robert P. Kaufman,Professor Emeritus,https://math.illinois.edu/directory/profile/rpkaufma,True,False
151,Peter Loeb,Professor Emeritus,https://math.illinois.edu/directory/profile/ploeb,True,False
152,Leon R. McCulloh,Professor Emeritus,https://math.illinois.edu/directory/profile/mcculloh,True,False
153,Lynn McLinden,Professor Emeritus,https://math.illinois.edu/directory/profile/mclinden,True,False
154,Joseph Miles,Professor Emeritus,https://math.illinois.edu/directory/profile/j-miles3,True,False
155,Robert G. Muncaster,Professor Emeritus,https://math.illinois.edu/directory/profile/muncast,True,False
156,Julian Palmore,Professor Emeritus,https://math.illinois.edu/directory/profile/palmore,True,False
157,Emily Mann Peck,Professor Emeritus,https://math.illinois.edu/directory/profile/e-peck,True,False
158,Anthony L. Peressini,Professor Emeritus,https://math.illinois.edu/directory/profile/peressin,True,False
159,Clarence Phillips,math+ClarencePhillips@illinois.edu,https://math.illinois.edu/directory/profile/ClarencePhillips,True,False
160,Anand Pillay,Professor Emeritus,https://math.illinois.edu/directory/profile/pillay,True,False
161,Horacio Porta,Professor Emeritus,https://math.illinois.edu/directory/profile/h-porta,True,False
162,Esther Portnoy,Professor Emeritus,https://math.illinois.edu/directory/profile/eportnoy,True,False
163,R. Ranga Rao,Professor Emeritus,https://math.illinois.edu/directory/profile/rao,True,False
164,Derek J.S. Robinson,Professor Emeritus,https://math.illinois.edu/directory/profile/dsrobins,True,False
165,Joseph M. Rosenblatt,Professor Emeritus,https://math.illinois.edu/directory/profile/rosnbltt,True,False
166,Zhong-Jin Ruan,Professor Emeritus,https://math.illinois.edu/directory/profile/z-ruan,True,False
167,Paul E. Schupp,Professor Emeritus,https://math.illinois.edu/directory/profile/schupp,True,False
168,Donald R.  Sherbert,Professor Emeritus,https://math.illinois.edu/directory/profile/dsherber,True,False
169,Kenneth Stolarsky,Professor Emeritus,https://math.illinois.edu/directory/profile/stolarsk,True,False
170,Philippe Tondeur,Professor Emeritus,https://math.illinois.edu/directory/profile/tondeur,True,True
171,Stephen V.  Ullom,Professor Emeritus,https://math.illinois.edu/directory/profile/ullom,True,False
172,John H. Walter,Professor Emeritus,https://math.illinois.edu/directory/profile/jhwalter,True,False
173,Paul M.  Weichsel,Professor Emeritus,https://math.illinois.edu/directory/profile/weichsel,True,False
174,Elliot Weinberg,Professor Emeritus,https://math.illinois.edu/directory/profile/ecw,True,False
175,Douglas B. West,Professor Emeritus,https://math.illinois.edu/directory/profile/dwest,True,False
176,John E.  Wetzel,Professor Emeritus,https://math.illinois.edu/directory/profile/j-wetzel,True,False
177,Jang-Mei Wu,Professor Emeritus,https://math.illinois.edu/directory/profile/jmwu,True,True
